CAMPO_MANUAL,CAMPO_NORMALIZADO,SECCION_MANUAL,DESCRIPCION_MANUAL,TIPO_CAMPO_MANUAL,OBLIGATORIEDAD_MANUAL,OBSERVACION,FUENTE_ARCHIVO,ESTADO_FUENTE
Tipo de Carrera/Programa,TIPO_DE_CARRERA_PROGRAMA,Nuevos Programas,Coincidencia normalizada detectada para: Tipo Carrera,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Nombre del Programa,NOMBRE_DEL_PROGRAMA,Nuevos Programas,"pecialidad odontológica. Si es una carrera Denominación oficial técnica debe usar el del programa, prefijo TNS. por conforme a los ejemplo, “TNS. en documentos oficiales Química”. Nombre del Programa correspondientes y Si es una Ingeniería Texto. las convenciones del de Ejecución debe CNED. usar el prefijo Ing. No incluya menciones Ejec. por ejemplo, ni especialidades “Ing. Ejec. en Informática”. Departamento Gestión de la Calidad Consejo Nacional de Educ",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Especializaciones y menciones,ESPECIALIZACIONES_Y_MENCIONES,Nuevos Programas,"Tokens del campo aparecen en el manual, pero no como etiqueta exacta: Especializaciones y menciones",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION
Año de Inicio de actividades,ANO_DE_INICIO_DE_ACTIVIDADES,Nuevos Programas,"CNED de la institución Nombre oficial de la Nombre institución institución. Sigla CNED con la que se Sigla de la institución reconoce la institución. Año en que la institución dio Año de inicio de actividades inicio oficialmente a sus actividades académicas. Nombre de la persona jurídica propietaria, controladora o administradora de la institución. Es posible utilizar el nombre abreviado de la Nombre del propietario/ misma, siempre que éste controlador/ administra",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Campus,CAMPUS,Nuevos Programas,............................ 7 6. SECCIÓN: SEDE ..................................................................................................................... 8 7. SECCIÓN: CAMPUS ............................................................................................................... 9 8. SECCIÓN: DEPENDENCIAS ................................................................................................ 9 9. SECCIÓN: DOCENTES,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Horario,HORARIO,Nuevos Programas,"De esta manera, una sede puede estar compuesta por varios campus. Los valores para seleccionar son: a) Diurno (Más del 60% de las clases se Corresponde a la imparten antes de las Horario jornada en la cual se 18 horas). Texto. dicta el programa. b) Vespertino (Más del 60% de las clases se imparten después de las 18 horas). c) Otro horario. Los valores para seleccionar son: Clasificación del a) “Funciona programa según la Normalmente” para sit",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Estado de la carrera o programa,ESTADO_DE_LA_CARRERA_O_PROGRAMA,Nuevos Programas,on: a) “Funciona Normalmente” para las carreras con estudiantes nuevos y antiguos. b) “No recibe nuevos Clasificación del estudiantes” para las programa según la carreras que sólo Estado del programa situación de Texto. tienen estudiantes funcionamiento en antiguos. que se encuentra. c) “Nuevas” para las carreras que sólo tienen estudiantes nuevos. d) “Inactiva” para las carreras que no son oferta y que no tienen matriculas total. Valor en pesos que se co,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Tipo del programa,TIPO_DEL_PROGRAMA,Nuevos Programas,de la educación media. 2) La carrera o programa se orientan a la regularización de títulos. 3) La carrera o programa se imparte Clasificación del en modalidad a programa según el Tipo del programa distancia o no Texto. tipo de estudiantes presencial o semi- que admite. presencial (a lo menos un 40% del programa se imparte a distancia). 4) La carrera o programa exige experiencia laboral. 5) La carrera o programa corresponde a una continuidad de estudios,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Detalle del Tipo de Programa (especiales),DETALLE_DEL_TIPO_DE_PROGRAMA_ESPECIALES,Nuevos Programas,a o programa corresponde a una continuidad de estudios. Si el programa no es especial entonces es Regular. Los valores para seleccionar son: Clasificación del a) Regularización de Detalle del Tipo de programa según el título. Programa objetivo que el b) Continuidad de Texto. (especiales) estudiante tiene al estudios (o ingresar. articulación) de estudios. c) Otro objetivo Los posibles valores Clasificación del Modalidad del para seleccionar son: programa según el,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Modalidad del Programa,MODALIDAD_DEL_PROGRAMA,Nuevos Programas,"en la sede, desagregados por sexo. c. Estudiantes según tipo de formación de enseñanza media Corresponde N° de estudiantes de primer año, desagregados por sexo, de acuerdo con la modalidad de formación de enseñanza media: • Científico Humanista • Técnico Profesional • Escuelas Artísticas Tabla 12: Origen según Tipo Enseñanza Media Variable Definición Formato Corresponde a los estudiantes matriculados en primer año de las N° de estudiantes de pr",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
