ID_VALIDACION	PROCESO	SUBPROCESO	CAMPO	TIPO_VALIDACION	DESCRIPCION	EXPRESION_FUNCIONAL	FUENTE_REGLA	SECCION	NIVEL_RESPALDO	SEVERIDAD	BLOQUEA_CONTROL	BLOQUEA_PES	SALIDA_ERROR	ESTADO_IMPLEMENTACION	OBSERVACIONES
CAR-EST-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	TODOS	ESTRUCTURAL	Estructura oficial y orden de columnas.	Columnas coinciden con contrato Carreras; CODIGO_IES_NUM solo como columna institucional previa.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I/III	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-EST-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-MOD-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	NO_MODIFICABLES	MODIFICABILIDAD	No modificar campos precargados no modificables.	Comparar contra precarga congelada.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I/IV	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-MOD-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-PLAN-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	PLAN_ESTUDIOS	CONSISTENCIA	Plan correlativo por CODIGO_UNICO.	Planes múltiples solo con unidad o total distintos y evidencia institucional.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-PLAN-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-UM-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA	DOMINIO	Tipo de unidad permitido.	Valor en {1,2,3}.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I/IV	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-UM-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-UM-002	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	OTRA_UNIDAD_MEDIDA	UNIDAD_MEDIDA	Otra unidad solo cuando tipo=3.	Si tipo=3 debe especificarse; si tipo!=3 revisar vacío.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I/IV	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	CAR-UM-002_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-TOT-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	TOTAL_UNIDADES_MEDIDA	OBLIGATORIEDAD	Total obligatorio y entero.	No derivar desde duración sin fuente institucional.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-TOT-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-DIST-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO..UNIDADES_7MO_ANIO	CONSISTENCIA	Distribución anual suma contra total.	Suma anual = TOTAL_UNIDADES_MEDIDA; diferencias quedan bloqueadas/pendientes.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo IV	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CAR-DIST-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-DUR-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO..UNIDADES_7MO_ANIO	TEMPORALIDAD	No informar años posteriores a duración formal.	Usar DURACION_ESTUDIOS para determinar años esperados.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo IV	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	CAR-DUR-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-VIG-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	VIGENCIA	DOMINIO	Vigencia solo 0 o 1.	0 elimina; 1 mantiene en esta carga.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I/IV	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	CAR-VIG-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CAR-PRI-001	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	TODOS	PRIVACIDAD	No preparar datos personales para Git público.	Mantener fuentes locales y versionar solo artefactos saneados.	Instructivo_Avance Curricular SIES - 2026.txt	Control interno	VALIDACION_TECNICA_DERIVADA	BLOCKER	SI	SI	CAR-PRI-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
