ID	ARCHIVO	RUTA	FUNCION	LINEAS	PROCESO_ORIGINAL	OBJETIVO	ENTRADAS	SALIDAS	LLAVES	MODIFICA_DATOS	CONTIENE_REGLA_FUNCIONAL	CONTIENE_REGLA_OTRO_PROCESO	REUTILIZABLE	TIPO_REUTILIZACION	RIESGO	PRUEBAS_EXISTENTES	ESTADO	OBSERVACIONES
ICR-001	codigo_gobernanza_v2 2.py	backups/pre_integracion_mu_extranjeros_sies_20260625_181842/scripts/codigo_gobernanza_v2 2.py	_load_datos_alumnos_lookup	1255-1350	Matricula Unificada 2026	Cargar DatosAlumnos como lookup por CODCLI con columnas DA_*	PROMEDIOSDEALUMNOS_7804.xlsx::DatosAlumnos	DataFrame DA_*	CODCLI; DA_RUT_NORM	NO	PARCIAL_NO_DESTRUCTIVA	SI_PARTE_MU	PARCIAL	FUNCION_LECTURA_NORMALIZACION	Usa drop_duplicates(CODCLI, keep=first); requiere auditoria de duplicados antes de Avance.	No especificas	ANALIZADO	Reusable para lectura/normalizacion, no para resolver ambiguedad.
ICR-002	codigo_gobernanza_v2 2.py	backups/pre_integracion_mu_extranjeros_sies_20260625_181842/scripts/codigo_gobernanza_v2 2.py	Enriquecimiento DA con fallback RUT	2774-2818	Matricula Unificada 2026	Cruzar fuente principal con DatosAlumnos por CODCLI y fallback por RUT normalizado	src_work; da_lookup	src_work enriquecido; DA_MATCH_MODO	CODCLI; RUT_NORM	SI	NO	SI_MU	PARCIAL	METODOLOGIA_LLAVE	DA por RUT usa deduplicacion por RUT; riesgo many-to-many.	No especificas	ANALIZADO	Metodologia reutilizable solo con auditoria de cardinalidad.
ICR-003	codigo_gobernanza_v2 2.py	backups/pre_integracion_mu_extranjeros_sies_20260625_181842/scripts/codigo_gobernanza_v2 2.py	_build_mu_historico_summary	672-757	Matricula Unificada 2026	Resumir historial Hoja1 por RUT+CODCARPR, semestres, aprobados, transferencias y promedios	Hoja1 con ANO/PERIODO/CODRAMO/NOTA/ESTADO/CONVALIDADO	Resumen historico UZ_* y ASI/PROM	RUT+DIG+CODCARR	NO	SI_MU_ACADEMICA	SI_MU	PARCIAL	CONTRASTE_ACADEMICO	No equivale a unidades oficiales de Avance; convalidacion requiere regla propia.	No especificas	ANALIZADO	Usar como perfil/contraste, no como computo productivo.
ICR-004	generar_base_maestra_fase2 2.py	estudiantes_extranjeros_2026/scripts/generar_base_maestra_fase2 2.py	read_archivo_listo	260-298	Estudiantes Extranjeros 2026	Leer salida MU filtrada para extranjeros 2025 y deduplicar por CODCLI	resultados/archivo_listo_para_sies.xlsx::ARCHIVO_LISTO_SUBIDA	normalized_ok	CODCLI; N_DOC+DV	SI	SI_EXTRANJEROS	SI_EXTRANJEROS	PARCIAL	FUNCION_LECTURA	Filtra por nacionalidad y ANOMATRICULA=2025; no reusable para Avance sin quitar reglas Extranjeros.	No especificas	ANALIZADO	Reusable solo patron de lectura selectiva.
ICR-005	generar_base_maestra_fase2 2.py	estudiantes_extranjeros_2026/scripts/generar_base_maestra_fase2 2.py	resolve_codigo	427-493	Estudiantes Extranjeros 2026	Resolver CODIGO_UNICO por CODCLI en salida MU o por CODCARPR+JORNADA en puente SIES	normalized_ok; PUENTE_SIES_COMPILADO	CODIGO_UNICO o clasificacion pendiente	CODCLI; CODCARPR+JORNADA	NO	SI_EXTRANJEROS	SI_EXTRANJEROS	PARCIAL	METODOLOGIA_CONCILIACION	Resoluciones institucionales puntuales no son reutilizables; ambiguos deben permanecer.	Validacion indirecta en reportes V6/V7/V8	ANALIZADO	Reutilizable como metodologia de no escoger primera coincidencia.
ICR-006	generar_base_maestra_fase2 2.py	estudiantes_extranjeros_2026/scripts/generar_base_maestra_fase2 2.py	set_field|build_base	497-603	Estudiantes Extranjeros 2026	Registrar valor bruto, normalizado, fuente, hoja, columna, regla, estado y observacion por campo	DatosAlumnos; archivo_listo; puente	Base maestra trazable	CODCLI; documento	NO	SI_EXTRANJEROS	SI_EXTRANJEROS	SI	METODOLOGIA_TRAZABILIDAD	Reglas de campos oficiales de Extranjeros no aplican a Avance; estructura de trazabilidad si.	Reportes fase 2	ANALIZADO	Patron altamente reusable para auditoria de fuentes.
ICR-007	generar_base_maestra_fase2 2.py	estudiantes_extranjeros_2026/scripts/generar_base_maestra_fase2 2.py	build_cross_audit	677-730	Estudiantes Extranjeros 2026	Auditar llaves y fuentes ganadoras/documentar cobertura	DatosAlumnos; base_datos; archivo_listo; puente	AUDITORIA_CRUCES_BASE_MAESTRA.csv	RUN/DV; CODCLI; CODCARPR+JORNADA	NO	NO	SI_EXTRANJEROS	SI	METODOLOGIA_AUDITORIA_LLAVES	Riesgo bajo si se eliminan decisiones de Extranjeros.	No especificas	ANALIZADO	Reusable para inventario de llaves Avance.
ICR-008	corregir_universo_extranjeros_2025 2.py	estudiantes_extranjeros_2026/scripts/corregir_universo_extranjeros_2025 2.py	read_inputs|pick_da_for_control|jornada_lookup	310-404	Estudiantes Extranjeros 2026	Relacionar control 2025, DatosAlumnos y Hoja1 por documento/carrera/jornada	DatosAlumnos; Hoja1; matricula_avance_curricular_2025_control.csv	Universo corregido	RUN_CUERPO; CODCARPR/CODIGO_UNICO; CODCARR	NO	SI_EXTRANJEROS_Y_LEGACY	SI_EXTRANJEROS	PARCIAL	METODOLOGIA_CONCILIACION	Resultado legacy Avance 2025 no es fuente normativa 2026.	Reportes fase 4	ANALIZADO	Usar solo para entender historico.
ICR-009	resolver_codigos_sies_v6 2.py	estudiantes_extranjeros_2026/scripts/resolver_codigos_sies_v6 2.py	scan_xlsx_candidates|puente_candidates|decision_table	159-340	Estudiantes Extranjeros 2026	Buscar candidatos CODIGO_UNICO en salida MU/puente y dejar pendientes ambiguos	archivo_listo_para_sies.xlsx; PUENTE_SIES_COMPILADO.tsv	Decisiones V6; auditorias	CODCLI; CODCARPR+JORNADA+NOMBRE	NO	SI_EXTRANJEROS	SI_EXTRANJEROS	PARCIAL	METODOLOGIA_RESOLUCION_CODIGO	Riesgo de casos puntuales hardcodeados; separar buscador de decisiones.	tests/test_integracion_mu_extranjeros 2.py	ANALIZADO	Reusable el buscador y la validacion, no las decisiones individuales.
ICR-010	cerrar_icre068_extranjeros_v8 2.py	scripts/cerrar_icre068_extranjeros_v8 2.py	build_bridge_v2|build_validation	390-431;546-580	Estudiantes Extranjeros 2026	Cerrar puente V2, validar duplicados, hash y estados	puente V1; resolucion institucional	Puente V2; validaciones	CODCLI+CODCARPR+PLAN_DE_ESTUDIO+COD_SED+JOR+MODALIDAD	SI	SI_EXTRANJEROS	SI_EXTRANJEROS	PARCIAL	VALIDACION_TECNICA	El mismo script genera PES y copia a escritorio; no ejecutar para Avance.	tests/test_integracion_mu_extranjeros 2.py	ANALIZADO	Reutilizar solo la validacion de duplicados/hashes, no el cierre productivo.
