ID_VALIDACION	PROCESO	SUBPROCESO	CAMPO	TIPO_VALIDACION	DESCRIPCION	EXPRESION_FUNCIONAL	FUENTE_REGLA	SECCION	NIVEL_RESPALDO	SEVERIDAD	BLOQUEA_CONTROL	BLOQUEA_PES	SALIDA_ERROR	ESTADO_IMPLEMENTACION	OBSERVACIONES
CRZ-001	Avance Curricular SIES 2026	Ambos	CODIGO_UNICO	CRUZADA	Cada CODIGO_UNICO de Matrícula existe en Carreras.	matricula.CODIGO_UNICO in carreras.CODIGO_UNICO.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo III/V	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CRZ-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-002	Avance Curricular SIES 2026	Ambos	CODIGO_UNICO+PLAN_ESTUDIOS	CRUZADA	Cada plan de Matrícula existe en Carreras.	matricula.(CODIGO_UNICO,PLAN_ESTUDIOS) in carreras.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CRZ-002_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-003	Avance Curricular SIES 2026	Carreras	PLAN_ESTUDIOS	CONSISTENCIA	Planes correlativos por CODIGO_UNICO.	Sin saltos ni duplicados contradictorios.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo I	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	CRZ-003_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-004	Avance Curricular SIES 2026	Ambos	TIPO_UNIDAD_MEDIDA	UNIDAD_MEDIDA	Matrícula usa unidad definida para el plan.	No mezclar créditos/asignaturas.	Instructivo_Avance Curricular SIES - 2026.txt	Página 2/3.1/3.2	VALIDACION_TECNICA_DERIVADA	BLOCKER	SI	SI	CRZ-004_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-005	Avance Curricular SIES 2026	Matrícula	UNID_APROBADAS_TOTAL	CRUZADA	Comparar aprobado total contra total del plan.	Usar TOTAL_UNIDADES_MEDIDA y tolerancia 25%.	Instructivo_Avance Curricular SIES - 2026.txt	3.2/Anexo V	REGLA_OFICIAL_EXPLICITA	WARNING	NO	SI	CRZ-005_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-006	Avance Curricular SIES 2026	Matrícula	CURSO_1ER_SEM/CURSO_2DO_SEM	CONSISTENCIA	Presencia coherente con unidades anuales.	Ambos NO con unidades >0 genera revisión, no corrección automática.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo V	REGLA_OFICIAL_EXPLICITA	WARNING	NO	SI	CRZ-006_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-007	Avance Curricular SIES 2026	Matrícula	UNIDADES_CURSADAS	TRAZABILIDAD	No reemplazar desconocidos por cero.	Distinguir cero real, vacío, no aplica, desconocido y pendiente.	Instructivo_Avance Curricular SIES - 2026.txt	Control interno derivado	VALIDACION_TECNICA_DERIVADA	BLOCKER	SI	SI	CRZ-007_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-008	Avance Curricular SIES 2026	Matrícula	AVANCE	TEMPORALIDAD	Avance corresponde a carrera informada en 2025.	No trasladar avance de cambio interno posterior.	Instructivo_Avance Curricular SIES - 2026.txt	Página 5	VALIDACION_TECNICA_DERIVADA	BLOCKER	SI	SI	CRZ-008_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-009	Avance Curricular SIES 2026	Ambos	NO_MODIFICABLES	MODIFICABILIDAD	Campos precargados no modificables preservados.	Comparar contra precarga congelada.	Instructivo_Avance Curricular SIES - 2026.txt	Anexos I-II	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	CRZ-009_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
CRZ-010	Avance Curricular SIES 2026	Ambos	CODIGO_IES_NUM	ESTRUCTURAL	Primera columna institucional solo se elimina en PES final.	Conservar en control y congelados.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo III	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	CRZ-010_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
