ID_VALIDACION	PROCESO	SUBPROCESO	CAMPO	TIPO_VALIDACION	DESCRIPCION	EXPRESION_FUNCIONAL	FUENTE_REGLA	SECCION	NIVEL_RESPALDO	SEVERIDAD	BLOQUEA_CONTROL	BLOQUEA_PES	SALIDA_ERROR	ESTADO_IMPLEMENTACION	OBSERVACIONES
MAT-EST-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	TODOS	ESTRUCTURAL	Estructura oficial y orden de columnas.	Columnas coinciden con contrato Matrícula; CODIGO_IES_NUM solo como columna institucional previa.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/III	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	MAT-EST-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-MOD-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	NO_MODIFICABLES	MODIFICABILIDAD	No modificar atributos personales ni campos precargados.	Comparar contra precarga congelada.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	MAT-MOD-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-DOC-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	TIPO_DOCUMENTO/DV	DOMINIO	Documento y DV según dominio.	TIPO_DOCUMENTO R/P; DV según reglas del instructivo.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-DOC-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-SEX-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	SEXO	DOMINIO	Sexo H/M/X.	No corregir directamente cambios a no binario sin procedimiento oficial.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-SEX-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-PLAN-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	CRUZADA	Plan debe existir en Carreras.	CODIGO_UNICO + PLAN_ESTUDIOS debe existir en catálogo validado.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	BLOCKER	SI	SI	MAT-PLAN-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-CURSO-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	CURSO_1ER_SEM	DOMINIO	Valores SI/NO.	No inferir por ausencia de nota.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-CURSO-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-CURSO-002	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	CURSO_2DO_SEM	DOMINIO	Valores SI/NO.	No inferir por ausencia de nota.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo II/V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-CURSO-002_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-ANUAL-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	UNIDADES_APROBADAS	CONSISTENCIA	Aprobadas anuales no superan cursadas anuales.	UNIDADES_APROBADAS <= UNIDADES_CURSADAS.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-ANUAL-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-ACUM-001	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	UNID_APROBADAS_TOTAL	CONSISTENCIA	Aprobadas total no superan cursadas total.	UNID_APROBADAS_TOTAL <= UNID_CURSADAS_TOTAL.	Instructivo_Avance Curricular SIES - 2026.txt	Anexo V	REGLA_OFICIAL_EXPLICITA	ERROR	SI	SI	MAT-ACUM-001_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
MAT-ACUM-002	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	UNID_APROBADAS_TOTAL	UNIDAD_MEDIDA	Comparación contra total del plan.	Aplicar control de referencia y tolerancia 25% como alerta/bloqueo diseñado.	Instructivo_Avance Curricular SIES - 2026.txt	3.2/Anexo V	REGLA_OFICIAL_EXPLICITA	WARNING	NO	SI	MAT-ACUM-002_errores.tsv	DISEÑADA	Diseño documental; no ejecutado productivamente.
