Columna	Campo	Estado	Fase dueña	Bloqueo actual	Acción necesaria	Criterio para pasar a OK	Evidencia actual	Última revisión
A	TIPO_DOC	Pendiente	FASE 1	Anomalía documental activa: 4 filas incluidas presentan `TIPO_DOC=R` con `FOR_ING_ACT=6`, `Q/S=2026` y `VIG=1`; el Cuadro N°5 solo muestra ese patrón de nuevo ingreso extranjero con `TIPO_DOC=P`.	Revisar en fuente de identidad/documento si corresponde `P` o si `FOR_ING_ACT=6` fue asignado indebidamente; no corregir por sobreescritura automática sin respaldo.	Eliminar o justificar formalmente las filas activas `R + 6 + Q/S=2026 + VIG=1`.	gobernanza_columnas_mu/gob_mu_tipo_doc.tsv + control/evidencias/A_tipo_doc.md + control/reportes/reporte_identidad_mu_2026.json	2026-04-01
B	N_DOC	OK	FASE 1	Sin bloqueo operativo	Mantener QA de coherencia documental y trazabilidad por fila	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_n_doc.tsv + control/evidencias/B_n_doc.md + control/reportes/reporte_identidad_mu_2026.json	2026-04-01
C	DV	OK	FASE 1	Sin bloqueo operativo	Mantener QA de DV y coherencia con RUT por fila	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_dv.tsv + control/evidencias/C_dv.md + control/reportes/reporte_identidad_mu_2026.json	2026-04-01
D	PRIMER_APELLIDO	OK	FASE 0	Sin bloqueo operativo	Mantener evidencia vigente y no degradar cobertura en iteraciones posteriores	Se mantiene estable, con evidencia vigente y sin degradacion operativa	gobernanza_columnas_mu/gob_mu_primer_apellido.tsv + control/evidencias/D_primer_apellido.md	2026-04-01
E	SEGUNDO_APELLIDO	OK	FASE 1	Sin bloqueo operativo	Mantener la trazabilidad de vacios permitidos y fallback de DatosAlumnos	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_segundo_apellido.tsv + control/evidencias/E_segundo_apellido.md + control/reportes/reporte_identidad_mu_2026.json	2026-04-01
F	NOMBRE	OK	FASE 0	Sin bloqueo operativo	Mantener evidencia vigente y no degradar cobertura en iteraciones posteriores	Se mantiene estable, con evidencia vigente y sin degradacion operativa	gobernanza_columnas_mu/gob_mu_nombre.tsv + control/evidencias/F_nombre.md	2026-04-01
G	SEXO	OK	FASE 0	Sin bloqueo operativo	Mantener evidencia de catalogo valido y no degradar control	Se mantiene valido en catalogo y con evidencia vigente	gobernanza_columnas_mu/gob_mu_sexo.tsv + control/evidencias/G_sexo.md	2026-04-01
H	FECH_NAC	OK	FASE 1	Sin bloqueo operativo	Mantener el reporte de fechas y la trazabilidad de fallback 1900	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_fech_nac.tsv + control/evidencias/H_fech_nac.md + control/reportes/reporte_fech_nac.tsv	2026-04-01
I	NAC	OK	FASE 1	Sin bloqueo operativo	Mantener QA de catalogo NAC y trazabilidad de defaults explicitos	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_nac.tsv + control/evidencias/I_nac.md + control/reportes/reporte_nac_pais_sec.tsv	2026-04-01
J	PAIS_EST_SEC	OK	FASE 1	Sin bloqueo operativo	Mantener QA de PAIS_EST_SEC y trazabilidad de inferencias/defaults	Se mantiene 5/5 SI con evidencia vigente	gobernanza_columnas_mu/gob_mu_pais_est_sec.tsv + control/evidencias/J_pais_est_sec.md + control/reportes/reporte_nac_pais_sec.tsv	2026-04-01
