ID_PENDIENTE	SUBPROCESO	CAMPO_AFECTADO	FUENTE_FALTANTE	POR_QUE_SE_REQUIERE	IMPACTO	SEVERIDAD	BLOQUEA_CARRERAS	BLOQUEA_MATRICULA	ACCION_SOLICITADA	ESTADO	OBSERVACIONES
PF-001	Carreras Avance Curricular 2026	PLAN_ESTUDIOS	catálogo de planes de estudio vigentes	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
PF-002	Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-003	Carreras Avance Curricular 2026	OTRA_UNIDAD_MEDIDA	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-004	Carreras Avance Curricular 2026	TOTAL_UNIDADES_MEDIDA	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-005	Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-006	Carreras Avance Curricular 2026	UNIDADES_2DO_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-007	Carreras Avance Curricular 2026	UNIDADES_3ER_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-008	Carreras Avance Curricular 2026	UNIDADES_4TO_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-009	Carreras Avance Curricular 2026	UNIDADES_5TO_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-010	Carreras Avance Curricular 2026	UNIDADES_6TO_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-011	Carreras Avance Curricular 2026	UNIDADES_7MO_ANIO	malla curricular o plan oficial por carrera	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-012	Carreras Avance Curricular 2026	VIGENCIA	criterio institucional de pertenencia a la carga	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	ERROR	SI	NO	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	No identificada en archivos disponibles.
PF-013	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	plan real de cada estudiante	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	NO	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
PF-014	Matrícula Avance Curricular 2026	CURSO_1ER_SEM	inscripción o actividad académica 2025 por semestre	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	NO	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
PF-015	Matrícula Avance Curricular 2026	CURSO_2DO_SEM	inscripción o actividad académica 2025 por semestre	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	NO	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
PF-016	Matrícula Avance Curricular 2026	UNIDADES_CURSADAS	historial académico con unidades del plan	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	NO	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
PF-017	Matrícula Avance Curricular 2026	UNIDADES_APROBADAS	historial académico con unidades del plan	El instructivo exige completar/validar este campo con respaldo institucional.	Bloquea procesamiento productivo o exige validación manual.	BLOCKER	NO	SI	Confirmar fuente, llave, período, unidad y regla de uso.	ABIERTO	PROMEDIOSDEALUMNOS puede ser parcial pero no suficiente automáticamente.
