RUTA	ESTADO_GIT	EXISTIA_ANTES_FASE_00A	GENERADO_EN_FASE_00A_03	GENERADO_EN_RECTIFICACION	GENERADO_EN_FASE_04	PROCESO_ASOCIADO	CONTIENE_DATOS_PERSONALES	IGNORADO_POR_GIT	APTO_PARA_GIT	ACCION_RECOMENDADA	JUSTIFICACION	PENDIENTE
gitignore	M	NO_DETERMINADO	NO	NO	NO	OTRO_PROCESO_O_PREEXISTENTE	NO_DETERMINADO	NO	NO	REVISAR_MANUALMENTE	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/00_DIAGNOSTICO_REPOSITORIO.md	M	NO_DETERMINADO	SI	NO	NO	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/01_MATRIZ_NORMATIVA.md	M	NO_DETERMINADO	SI	NO	NO	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/05_scripts/fase_00a_03_inicial.py	M	NO_DETERMINADO	SI	NO	NO	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/07_control/INVENTARIO_FUENTES.tsv	M	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/07_control/INVENTARIO_REPOSITORIO.tsv	M	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/04_CONCILIACION_GIT.md	??	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/06_DISENO_PIPELINE_CARRERAS.md	??	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/07_DISENO_PIPELINE_MATRICULA.md	??	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
avance_curricular_2026/01_documentacion/08_ORQUESTACION_Y_GATES.md	??	NO_DETERMINADO	NO	NO	SI	Avance Curricular SIES 2026	NO	NO	SI_CON_REVISION	CANDIDATO_COMMIT_POSTERIOR	Conciliación documental; no hacer commit automático.	REVISAR_ANTES_DE_COMMIT
