CAMPO_DESTINO	VALOR_DESTINO	FUENTE_ORIGEN	HOJA	COLUMNA_ORIGEN	LLAVE	METODO	SCRIPT	REGLA	NIVEL_CONFIANZA	REQUIERE_REVISION	EVIDENCIA
TIPO_DOCUMENTO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	RUT	CODCLI; RUT	Transformacion a tipo documento del proceso Extranjeros	generar_base_maestra_fase2 2.py:554	RUN presente se informa como R; IPE no permitido en ese proceso	MEDIA	SI - no reutilizar regla Extranjeros	Reporte Fase 2 lineas 43-45
NUM_DOCUMENTO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	RUT	CODCLI; RUT	Separar cuerpo de RUN	generar_base_maestra_fase2 2.py:555	Eliminar puntuacion y separar DV; CODCLI no reemplaza documento	ALTA	SI - dato personal no documentar valores	Reporte Fase 2 lineas 43-45
DV	estructura sin valor personal	DatosAlumnos	DatosAlumnos	RUT	CODCLI; RUT	Separar digito verificador	generar_base_maestra_fase2 2.py:556	Separar DV desde RUN	ALTA	SI - dato personal no documentar valores	Reporte Fase 2 lineas 43-45
PRIMER_APELLIDO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	APELLIDO PATERNO	CODCLI	Normalizacion textual	generar_base_maestra_fase2 2.py:557	Mayusculas, sin acentos, trim y espacios simples	MEDIA	SI - dato personal no reutilizable para Avance salvo fuente validada	Reporte Fase 2 lineas 46-50
SEGUNDO_APELLIDO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	APELLIDO MATERNO	CODCLI	Normalizacion textual	generar_base_maestra_fase2 2.py:558	Mayusculas, sin acentos, trim y espacios simples	MEDIA	SI - dato personal no reutilizable para Avance salvo fuente validada	Reporte Fase 2 lineas 46-50
NOMBRES	estructura sin valor personal	DatosAlumnos	DatosAlumnos	NOMBRES	CODCLI	Normalizacion textual	generar_base_maestra_fase2 2.py:559	Mayusculas, sin acentos, trim y espacios simples	MEDIA	SI - dato personal no documentar valores	Reporte Fase 2 lineas 46-50
SEXO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	SEXO	CODCLI	Mapeo a catalogo Extranjeros	generar_base_maestra_fase2 2.py:560-562	Mapeo propio a catalogo SIES Extranjeros	MEDIA	SI - validar contra Avance si se usara	Reporte Fase 2 lineas 49-50
FECHA_NACIMIENTO	estructura sin valor personal	DatosAlumnos	DatosAlumnos	FECHANACIMIENTO	CODCLI	Normalizacion fecha	generar_base_maestra_fase2 2.py:563	Normalizar fecha a DD-MM-AAAA	MEDIA	SI - dato personal no documentar valores	Reporte Fase 2 lineas 49-50
NACIONALIDAD	estructura/codigo sin valor personal	DatosAlumnos + gobernanza_nac.tsv	DatosAlumnos	NACIONALIDAD	CODCLI	Mapeo gobernado	generar_base_maestra_fase2 2.py:565-566	Codigo 1..197 distinto de Chile, regla Extranjeros	MEDIA	SI - regla no aplica a Avance	Reporte Fase 2 linea 51
PAIS_ESTUDIOS_SECUNDARIOS	estructura/codigo sin valor personal	archivo_listo_para_sies.xlsx	ARCHIVO_LISTO_SUBIDA	PAIS_EST_SEC	CODCLI	Reutilizar normalizacion MU en fila OK 2025	generar_base_maestra_fase2 2.py:571-576	Si no existe, DatosAlumnos queda solo como antecedente; no inferir pais desde comuna/ciudad	MEDIA	SI	Reporte Fase 2 linea 54
